NAME,PLACE,LAT,LON
Neora Valley National Park, Darjeeling,27.085251,88.700928
Manas National Park, Gobardhana,26.659424,91.001129
Neyyar Wildlife Sanctuary, Kallikkad,8.534849,77.150116
Dasuya Forest Division, Dasuya,31.856564,75.875702
Keibul Lamjao National Park, Bishnupur,24.567108,93.836975
New Amarambalam Wildlife Sanctuary, Kavalamukkatta,11.344064,76.409912
Tungareshwar National Park, Usgaon,19.403315,72.95787
Chandoli National Park, Kalgaon,17.143744,73.857307
Koyna Wildlife Sanctuary, Koyna,17.781902,73.700935
Jim Corbett National Park, Ramnagar,29.548599,78.935303
Pench National Park, Seoni,22.016617,79.829674
Bandipur National Park, Karnataka,11.6664,76.629189
Dibru Saikhowa National Park, Assam,27.669033,95.362549
Kaziranga National Park, Assam,26.575863,93.167046
Shettihalli Wildlife Sanctuary, Karnataka,13.894744,75.389214
